#Institución,Sección,Nombre
02,,,Cortes de Castilla-La Mancha
04,,,Consejo Consultivo
06,,,Deuda pública
07,,,Créditos centralizados
11,,,Presidencia de la Junta
15,,,Hacienda y Administraciones Públicas
17,,,Fomento
18,,,"Educación, Cultura y Deportes"
19,,,"Economía, Empresas y Empleo"
21,,,"Agricultura, Agua y Desarrollo Rural"
23,,,Desarrollo Sostenible
26,,,Sanidad
27,,,Bienestar Social
51,,,Instituto Regional de Investigación y Desarrollo Agroalimentario y Forestal
55,,,Instituto de Promoción Exterior de Castilla-La Mancha
56,,,Agencia del Agua de Castilla-La Mancha
61,,,Servicio de Salud de Castilla-La Mancha
70,,,Instituto de la Mujer de Castilla-La Mancha
76,,,Agencia de Investigación e Innovación de Castilla-La Mancha
80,,,Entidad Pública Infraestructuras del Agua de Castilla-La Mancha
81,,,Ente público de Radiotelevisión de Castilla-La Mancha
02,01,0,Cortes de Castilla-La Mancha
04,01,0,Consejo Consultivo
06,01,0,Deuda pública
07,01,0,Créditos centralizados
11,01,0,Presidencia de la Junta
11,02,0,Vicepresidencia de la Junta
11,04,0,Secretaría General de Presidencia
11,05,0,Viceconsejería de Relaciones Institucionales
11,06,0,Consejería de Igualdad y Portavoz
11,07,0,Dirección General de Promoción Institucional
11,08,0,Dirección General de Coordinación y Planificación
15,02,0,Secretaría General
15,03,0,Viceconsejería de Administración Local y Coordinación Administrativa
15,04,0,Dirección General de Presupuestos
15,05,0,Intervención General
15,06,0,Dirección General de Tributos y Ordenación del Juego
15,07,0,"Dirección General de Política Financiera, Tesorería y Fondos Comunitarios"
15,08,0,Dirección General de la Función Pública
15,09,0,Dirección General de Protección Ciudadana
15,10,0,Dirección General de Patrimonio y Contratación
15,11,0,Dirección General de Administración Digital
17,02,0,Secretaría General
17,03,0,Dirección General de Carreteras
17,04,0,Dirección General de Transportes y Movilidad
17,06,0,Dirección General de Vivienda
17,07,0,Dirección General Planificación Territorial y Urbanismo
18,02,0,Secretaría General
18,03,0,Viceconsejería de Educación
18,04,0,Dirección General Recursos Humanos y Planificación Educativa
18,08,0,Viceconsejería de Cultura y Deportes
19,02,0,Secretaría General
19,03,0,"Viceconsejería de Empleo, Diálogo Social y Bienestar Laboral"
19,04,0,"Dirección General de Autónomos, Trabajo y Economía Social"
19,08,0,Dirección General de Programas de Empleo
19,09,0,Dirección General de Formación Profesional para el Empleo
19,11,0,Dirección General de Empresas
19,12,0,"Dirección General de Turismo, Comercio y Artesanía"
21,02,0,Secretaría General
21,03,0,Dirección General de Desarrollo Rural
21,04,0,Dirección General de Agricultura y Ganadería
21,05,0,Dirección General de Alimentación
21,06,0,Dirección General de Políticas Agroambientales
23,02,0,Secretaría General
23,03,0,Viceconsejería de Medio Ambiente
23,04,0,Dirección General de Medio Natural y Biodiversidad
23,05,0,Dirección General de Economía Circular
23,06,0,Dirección General de Transición Energética
23,07,0,Dirección General de Cohesión Territorial
23,08,0,Dirección General de Agenda 2030 y Consumo
26,02,0,Secretaría General
26,06,0,Dirección General de Salud Pública
26,09,0,"Dirección General de Planificación, Ordenación e Inspección Sanitaria"
26,10,0,Dirección General de Calidad y Humanización de la Asistencia Sanitaria
27,02,0,Secretaría General
27,03,0,Viceconsejería de Promoción de la Autonomía y Atención a la Dependencia
27,04,0,Dirección General de Mayores
27,05,0,Dirección General de Acción Social
27,07,0,Dirección General de Infancia y Familia
27,08,0,Dirección General de Discapacidad
27,12,0,Viceconsejería de Servicios y Prestaciones Sociales
51,01,0,Instituto Regional de Investigación y Desarrollo Agroalimentario y Forestal
55,01,0,Instituto de Promoción Exterior de Castilla-La Mancha
56,01,0,Agencia del Agua de Castilla-La Mancha
61,02,0,Secretaría General
61,03,0,Dirección General de Asistencia Sanitaria
61,04,0,Dirección General de Recursos Humanos
70,01,0,Instituto de la Mujer de Castilla-La Mancha
76,01,0,Agencia de Investigación e Innovación de Castilla-La Mancha
80,01,0,Entidad Pública de Infraestructuras del Agua de Castilla-La Mancha
81,01,0,Ente Público de Radiotelevisión de Castilla-La Mancha
